,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,DS0,DS1,DS2,DS3,DS4,DS5,DS6,DS7,DS8,DS9,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9,V
0,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,0.022474494605023043,0.024214297012877806,0.023003138218394392,0.025336620803124488,0.023825232251545092,0.02241175998145506,0.0221696366438775,0.023382320962637593,0.023777100311742627,0.023104728701935695,0.02816325840173866,0.03523536533798671,0.028251636723775758,0.03485616384600919,0.035244124394230344,0.03380728620104945,0.031110606911134153,0.040535377506293775,0.04085115525805269,0.033825745875843694,0.8543477691585178,0.8452656043846839,0.8523964121783111,0.8175546164197566,0.8422903463202267,0.8571141125532684,0.8747898421668462,0.862666723148903,0.8671768793350298,0.8555194904113653,23.883589545855305,25.07994125685429,23.588134839020032,25.389946975198374,24.911712026645255,24.6354593459943,24.601031168443605,24.404769280299714,24.696437509489922,24.943788937374215,100.0
1,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,0.022643476819397046,0.022866617772020037,0.022259083214480446,0.022323922735526747,0.020848421521926452,0.02211273542914638,0.02182234949840023,0.021836865395870264,0.022180103050111866,0.021450107471449487,0.03693074736368515,0.03384348025604966,0.03815148042998263,0.03461722584250208,0.03140769086239767,0.032821402609868155,0.02989596250190619,0.03328604822289002,0.034675221512684186,0.03225774114590013,0.8776233084570455,0.8497010401377744,0.8983222232291943,0.8917092937777131,0.896190283748977,0.8952237903889017,0.8655884781345167,0.8864626067240212,0.8634501907771635,0.8676212520852189,23.98748090908641,25.114731855416437,23.933412621445548,24.56882522451477,24.3791278197491,24.427298032647244,25.13155768185146,24.470512154276594,24.780098156106273,24.52792550710159,106.0
2,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,0.02021384776933499,0.020707533495535113,0.021495143342168843,0.021298182948535027,0.020903001183431913,0.020069281911982984,0.02047836231544342,0.021557454178196656,0.022469558519032873,0.021941713544077368,0.02742620121388197,0.02995236281450557,0.032254849723906465,0.03283122170316989,0.030282812493722278,0.026063554117119237,0.028305836162516373,0.03498960908486802,0.031449709212838094,0.033284072316014206,0.9101935383019882,0.8853443229053136,0.8742650819140481,0.8602717482554822,0.8783952042524512,0.8704152767651946,0.895966260521637,0.8955381869260612,0.8925998009093036,0.8643206666451865,24.598603514672625,24.503045258812392,24.56739046769522,24.85241253423107,24.75840969454433,24.78982400425,24.0653276489158,23.70478055778064,24.120187319046757,24.90183033843414,114.0
3,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,0.02100083482945414,0.019770946092084296,0.021117897030874522,0.020811646472192802,0.019930962969449073,0.019729154642027513,0.02021644408597001,0.020296477545797664,0.018978282055727602,0.02070258563815308,0.029210867674236318,0.029499231251472115,0.029214051343663512,0.03103102267776222,0.02802010013774781,0.025945468322562427,0.03065988479518194,0.028717511830639104,0.02640396702035163,0.030546851868852795,0.8570854193218256,0.8784559130357754,0.8492838243738453,0.9039930228894619,0.8772042591050742,0.906276419947555,0.8961292725149193,0.8637730019482401,0.9052259215666811,0.8601840085451729,24.919655230861803,24.62387551625974,24.933872166615302,24.044262007717567,24.646538429061167,24.093266851881044,24.54029127415121,25.003757225331295,24.48249679101063,24.85525370856573,122.0
4,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,0.01953479165777594,0.019276409294740615,0.01907199524634784,0.020081366306771375,0.020752977624717506,0.020000060376919038,0.019065613576071394,0.019473577408391396,0.01960209580134653,0.02031368235044928,0.029938711173036616,0.030166503918027714,0.026041338272866327,0.02894573770408659,0.027804712781089914,0.03143167306910159,0.02723710651663486,0.02985658116476124,0.027625354795973667,0.025257274628604814,0.8733610456933443,0.9077711932108434,0.8918962773107202,0.8680380563136488,0.8820859247423967,0.8942939599056491,0.9106158940607638,0.8963942702661338,0.9158133735892237,0.8505783248242136,24.669410298558084,24.193832584332277,24.574402927143613,24.806561000555043,23.734568653314668,24.483455262859994,24.44887461249916,24.59957706037404,24.630849580554315,23.317163998109695,130.0
5,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,0.01782241720559319,0.018530558648764295,0.019805066834870155,0.01806009313981294,0.018869388850417,0.018162161689731615,0.01855110615042177,0.019009491445810545,0.01847086103087192,0.018148744700534847,0.025178246801749248,0.028737976546885615,0.030985438780014023,0.02588785974065925,0.0285038334146009,0.025595581684227146,0.027440113798675378,0.02864590900041579,0.02759723304748712,0.025227589850498493,0.9257386401608827,0.9214492433252647,0.9029502683892485,0.9256456834025895,0.9202014804306293,0.9177089095714941,0.9007879081885787,0.9288046669384009,0.900973253072982,0.8986664243126147,23.95499092625932,24.119353035364316,24.536530800736564,24.367935910656797,24.290106552067183,24.33159485693241,23.76726748652595,24.38594651466037,24.38375369331387,24.578888215960433,139.0
6,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,0.017225948745290598,0.016997163390451986,0.018638845928055536,0.017672598399442574,0.017876932094481157,0.01827802329094208,0.018384433131067635,0.01692885438660907,0.01806459768145574,0.017931423738874797,0.023689667746922428,0.023357770233139317,0.028870258288825085,0.02557848675318244,0.023981206966402047,0.02586152572901551,0.027516544678836605,0.023294314732252328,0.025931693999618644,0.02634497057987127,0.9246736508645975,0.9161685657329195,0.9191639302671681,0.9170306332672878,0.908604350024463,0.926497678169352,0.9173113998997394,0.9407108119195369,0.9212264983097964,0.9276267716625598,24.281774919248477,24.557140377745505,24.194627070234965,24.52889369318645,24.703281544842206,24.46754057949359,24.26420482271358,24.087275669272167,24.371249381539123,24.111443227857087,149.0
7,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,0.01725705236990005,0.018513597681873772,0.017479148994553384,0.01703724772627324,0.015940415840544286,0.016981763442122322,0.017628998325843748,0.016770866743103463,0.01773836850225341,0.016822049349672907,0.02462655072219212,0.027392173241157912,0.023790988315744475,0.024533580693888946,0.021588471164379914,0.023700639708309906,0.023913014335206647,0.023733432338399404,0.02705294223452743,0.023201801617770277,0.9148443828017916,0.9072379718205473,0.9013200716982517,0.9301878211229726,0.9354985238821973,0.9302113460754247,0.9160808436555115,0.9360500101700623,0.9204820349553084,0.936275549934254,24.526139621897876,24.54432375543845,24.572402550770803,24.293120857116982,24.24142266547386,24.190157815045517,24.419633983599788,24.201608973227746,24.298127568746303,24.43169186340756,160.0
8,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,0.017106668497215205,0.016673829846637567,0.015186262232919079,0.015486664189040766,0.01636184543384278,0.015954899868133143,0.01535241649863206,0.017094302464393474,0.016159932883940353,0.0165803827653761,0.026329870044632393,0.02347092410190379,0.020965015680485685,0.021654837226953525,0.022852068180983003,0.02226065956868411,0.020020004569611807,0.02460511583497045,0.02255304724247292,0.024481543392776795,0.9299207672673936,0.9337430565432219,0.9471706245249141,0.947689928893817,0.9321688313974645,0.9295600347347843,0.9381856185957781,0.926399653992909,0.9495347308767976,0.9374140617076927,24.315558749265673,24.269844541859264,24.397127428723,24.12734155446729,24.229685558723357,24.376916761670337,24.35958041502987,24.361628810894548,23.971060517627386,24.14381165429866,171.0
9,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,0.014972610750820792,0.01575399306506764,0.014966794267123218,0.014942036162758576,0.015562469979704119,0.015255370398166823,0.015710579947505243,0.015683911238831616,0.014726100868807546,0.01501058128132371,0.019919848349308718,0.023176766845900643,0.020971444416380117,0.019729901483029312,0.021183084745724574,0.02112374653484806,0.02282747023521732,0.022080879149268245,0.020261548934221867,0.020843616923118313,0.9306484113679359,0.9400315347243714,0.9453620865898499,0.9483800256587762,0.9197801084614473,0.9366478923558883,0.9441951770408866,0.9343442369944006,0.9459063096535498,0.9404933202966825,24.350374719214766,24.064649681564912,24.149504639093095,24.10067481737502,24.537213341228743,24.20648270195059,24.161413339848888,24.286143849249054,24.160883957446643,24.25248485461206,183.0
