,B0,B1,B2,B3,B4,B5,B6,B7,B8,B9,D0,D1,D2,D3,D4,D5,D6,D7,D8,D9,DS0,DS1,DS2,DS3,DS4,DS5,DS6,DS7,DS8,DS9,R0,R1,R2,R3,R4,R5,R6,R7,R8,R9,T0,T1,T2,T3,T4,T5,T6,T7,T8,T9
0,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,23.69999994,0.01274388648905056,0.013710777009571462,0.01262231846304429,0.013221132236273858,0.013394375011179571,0.01276768476100476,0.01310899848792757,0.012387239893120405,0.012464245785959838,0.012996043575142613,0.017124721091624644,0.01934495793390405,0.016840339946209815,0.01808941450939805,0.01766684804943221,0.0166877393443426,0.018065851563813386,0.0165790785249304,0.015938343143675367,0.017220013832303004,0.9552687684738249,0.9484546765955014,0.9602614410864251,0.94118743032942,0.946208950066342,0.9598561695205609,0.954275031894592,0.9557831214811302,0.9682874361138963,0.9488600421697599,23.761826835653753,24.175078493958857,24.109558588792932,24.22735992302668,24.247288726554892,24.09640786730253,24.10371800193782,23.97864513212864,24.02125956294864,24.16489416062869
1,23.964177228049618,23.964177228049618,23.964177228049618,23.964177228049618,23.964177228049618,23.964177228049618,23.964177228049618,23.964177228049618,23.964177228049618,23.964177228049618,0.013167995240694896,0.01333120913260677,0.013484559468829094,0.012905395869708514,0.013181402205279857,0.01301204660061428,0.012018921588359266,0.012395369979582682,0.012363992193299644,0.01333546277684916,0.017224067742972915,0.018847935202699576,0.01846050097305618,0.017092986010651894,0.01832651196232211,0.016565608167863538,0.014928361206013912,0.01584264285463772,0.01564323487394682,0.018106644854820126,0.9527214804803603,0.9471288054746383,0.9522478144007142,0.9570911512913867,0.9533461914290222,0.9459331066759431,0.9722169504930036,0.9522596232776415,0.9488089247044202,0.9519616689395285,24.597683118838074,24.431803097855404,24.52979373755829,24.37253958407276,24.298065722855974,24.46727620743878,24.232839995756528,24.40925139418124,24.46798326311271,24.527812499511928
2,24.31225583252005,24.31225583252005,24.31225583252005,24.31225583252005,24.31225583252005,24.31225583252005,24.31225583252005,24.31225583252005,24.31225583252005,24.31225583252005,0.012112104620140673,0.011823521071826715,0.012113826468810984,0.012315275701624495,0.012631225291462655,0.01179114036882667,0.01254864932830313,0.011434070304978228,0.01233879314928199,0.012921781929998266,0.015070335556252725,0.015165954549695361,0.01594725488101501,0.016346358914675393,0.01712111541472171,0.015185553406162523,0.01728510101573968,0.014642691252096104,0.016799706945736403,0.01805352495679861,0.9575863414292547,0.9645378174688749,0.9604452641846549,0.9676752425805535,0.9574540635396821,0.9663968728167216,0.9545550027904159,0.9719047280499028,0.9610879943854863,0.9530041403561653,24.729024173273228,24.692948768312778,24.652499133269636,24.618326319410798,24.815473902227456,24.433375944702775,24.800106096953375,24.59397006787648,24.71928979927541,24.711196472803508
3,24.759120858963623,24.759120858963623,24.759120858963623,24.759120858963623,24.759120858963623,24.759120858963623,24.759120858963623,24.759120858963623,24.759120858963623,24.759120858963623,0.01188709159243917,0.012409112120210786,0.012185860417095018,0.011926521122861189,0.01153965219165376,0.011929503617241988,0.011913955946013743,0.012439683373205224,0.011663478715077114,0.01119666986469059,0.015420405332498228,0.017827042886990475,0.016484940725555786,0.015889550177875335,0.014796317880569811,0.016468424503038193,0.015654688144066863,0.01723634288507503,0.015486123195177986,0.013900478304338883,0.958567600501699,0.953051145556517,0.9660334306940235,0.9692172561504911,0.9731113528269033,0.9617947544848208,0.9612266587904447,0.9620064000308896,0.9658143247086685,0.9708854871502146,25.238702488048343,25.177462299408905,25.13672089376069,25.04665044167807,24.9946186719315,25.276851425244768,25.33275728306757,25.23531675034543,25.11321050025771,25.130826380074016
4,25.07680887411437,25.07680887411437,25.07680887411437,25.07680887411437,25.07680887411437,25.07680887411437,25.07680887411437,25.07680887411437,25.07680887411437,25.07680887411437,0.010997070493078631,0.012059825708264915,0.011685333012642962,0.011417234511343022,0.012219619180106944,0.011482852354162576,0.011698512036486308,0.011374869730568227,0.011777410362244556,0.011561712133172808,0.014001831688773347,0.016890078480546765,0.015457474060868864,0.015577971617574196,0.01674928821012881,0.015780467234632427,0.015425894503220561,0.015110231657419145,0.015387119201293181,0.01542222208370347,0.9637558113656438,0.969482997492264,0.9614323967869088,0.9676361881386412,0.9605913978172084,0.9660992593987285,0.9559203242215798,0.9678276985400308,0.95884742424785,0.9710067021626946,25.53925317915644,25.330420140571842,25.47699015457667,25.444951132384453,25.438410737997504,25.40736425314016,25.668935510761518,25.4399484256197,25.60942120516816,25.37915859495695
5,25.498954978408428,25.498954978408428,25.498954978408428,25.498954978408428,25.498954978408428,25.498954978408428,25.498954978408428,25.498954978408428,25.498954978408428,25.498954978408428,0.011607643001734447,0.011364477980985388,0.010899869290724062,0.010848702456350168,0.011016246047273137,0.01143012918292352,0.011395709810768206,0.011459863570375983,0.01135899252134731,0.011040972209760191,0.015739317456340135,0.015069658984860986,0.014739106490353001,0.013961577289727056,0.015014741257365398,0.01571599834727117,0.015545858522897934,0.014970271370992182,0.015305791072537201,0.014403292914040071,0.9655715851369501,0.9666432050618947,0.9676357365704136,0.9744078723846017,0.9690367645923668,0.9676692772658136,0.9705170819355267,0.9631431504702118,0.9689353422739989,0.9675940837033496,25.92081453913741,26.021287940644786,25.878929555082355,25.715695614879202,25.886058859382377,25.782519470504212,25.828127055590205,26.061802117145437,25.8343243364357,25.830769046506592
6,25.952357436103497,25.952357436103497,25.952357436103497,25.952357436103497,25.952357436103497,25.952357436103497,25.952357436103497,25.952357436103497,25.952357436103497,25.952357436103497,0.01047098497563348,0.011309722862409277,0.011445317028781155,0.010726640385338104,0.010812897039697233,0.010260647434860548,0.010967789345714518,0.011059230376816886,0.011794844670790283,0.011182270176578912,0.013299805016333679,0.014826778048490257,0.015863828367307115,0.013885218538645655,0.014425305439104159,0.01363494662127731,0.014862358975706516,0.01524033673127984,0.016310714030914015,0.0158975811008611,0.9606203443705745,0.953220566223165,0.9657371591306338,0.9703206471253564,0.971554207066383,0.9762960326920288,0.9729634652877241,0.9675825792422843,0.9621090025084728,0.9678419937501888,26.455863388572567,26.598725601395966,26.41254201664123,26.289531072806838,26.290651663614874,26.210812095126883,26.13611018049057,26.243807683129287,26.476415318728723,26.144783217547722
7,26.340506051584196,26.340506051584196,26.340506051584196,26.340506051584196,26.340506051584196,26.340506051584196,26.340506051584196,26.340506051584196,26.340506051584196,26.340506051584196,0.009969434138238586,0.010431679693870377,0.011017177983980497,0.010530760844807086,0.010233948645947288,0.010621454461049229,0.01126188261847938,0.010496642569936876,0.009912774521218637,0.010828143462740858,0.012700437833736138,0.013947810876305701,0.015253660384057286,0.014079308708574965,0.01310247983423209,0.0141262373646283,0.01576145469661637,0.013768424936642024,0.012264262882221807,0.015013193820418253,0.9780821540415238,0.9716038191347522,0.9699316860364009,0.970425246360245,0.9649953693185964,0.9765536024033024,0.9568779176612981,0.9759012837595524,0.9757502510105465,0.9694762143076031,26.620243170588616,26.620073605680282,26.63513414039347,26.605352631683555,26.935508281702244,26.64536654313997,26.911057010615274,26.696641283322656,26.74438116600536,26.822652845319446
8,26.86186940680479,26.86186940680479,26.86186940680479,26.86186940680479,26.86186940680479,26.86186940680479,26.86186940680479,26.86186940680479,26.86186940680479,26.86186940680479,0.009544007602299898,0.010208781738280548,0.010260910723115746,0.009634925504824476,0.010273685660218357,0.009471134105826007,0.00975753531992063,0.01003053815580457,0.010076597651468067,0.009808653928862432,0.012297779853396749,0.013366022070931727,0.013095108322248122,0.01237160001915517,0.013716424112200792,0.011635233116459587,0.01259222651454442,0.013539569596894181,0.012693621557418574,0.013462221614191788,0.9734517849767669,0.9692549520278826,0.9636566966716394,0.9725564371928433,0.9742699114018651,0.9728119055295466,0.9630724892745766,0.9704946696080266,0.9525845555913449,0.9736374265173164,27.261610685391915,27.28548507654513,27.284760748805876,27.322082182156855,27.21728362808645,27.266639040176024,27.36253266838952,27.177752570874798,27.499715312826353,27.14226174131219
9,27.42937607963448,27.42937607963448,27.42937607963448,27.42937607963448,27.42937607963448,27.42937607963448,27.42937607963448,27.42937607963448,27.42937607963448,27.42937607963448,0.009673192063859526,0.00945850812925153,0.009634717145283522,0.01033870784245372,0.009621716225868937,0.00962620998595276,0.009513799948248858,0.010048505623417414,0.00996037803979033,0.009116577200394493,0.013250824958602716,0.012476513030209807,0.012921226210215284,0.014032466656444623,0.01355389015845853,0.012863343257329424,0.012665321624985348,0.013216177641948944,0.013652823522878043,0.011383864498821346,0.970007264903822,0.9764491297385894,0.9764733622112832,0.9523484998962328,0.9735999578147115,0.9691186017809554,0.9607279504873762,0.9724043804673489,0.9675152520709095,0.9718836917021281,27.786141868493274,27.7112610052318,27.716725106399505,28.034144409785732,27.735960540436068,27.936738263431955,27.99510387099697,27.812211039531224,27.960861158138567,27.724759641318617
