days,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80
0.021,10.6416,2.6416,7.7154,8.396,1.6067,1.0349,4.0913,6.3329,1.0067,1.5248,4.1557,4.5503,1.6913,7.3557,2.7141,3.1087,3.0362,2.2819,6.5879,6.0161,4.3919,2.0376,4.7597,3.9946,8.753,3.7208,9.643,3.6993,2.3678,6.1074,11.0516,3.6588,3.683,5.342,3.9004,2.4417,8.1845,2.836,3.6825,3.2315,1.1769,6.0905,3.4403,3.7953,2.2404,1.6208,5.0597,1.4833,4.6324,1.5236,10.0051,2.1438,2.2081,2.418,2.112,3.3201,4.0771,3.9725,6.3966,1.2744,,2.4906,6.7429,2.1442,1.6843,3.5206,2.1434,6.2516,2.1925,5.1478,5.559,3.4811,1.9665,2.6839,2.9496,3.9321,7.1454,3.1107,2.0306,1.2897
0.042,12.3087,3.4309,8.8349,6.8094,1.5503,2.0013,3.4711,5.5356,3.004,0.9611,3.9544,4.7436,1.7154,6.945,3.0201,2.6255,2.6336,2.1772,5.6054,5.5329,5.5436,2.5691,3.7369,2.6899,6.8685,3.9624,11.004,4.3356,2.4161,6.9047,11.116,3.1353,3.7393,4.3675,2.5313,1.6363,4.8744,2.5299,3.2798,2.4664,1.0561,5.4301,2.1438,2.1845,2.5545,0.8315,3.8758,0.8712,4.1088,1.2095,8.3863,0.8712,1.9102,1.5886,1.7093,2.7644,3.6664,3.2154,5.9456,1.7254,,1.5564,5.8731,1.4033,1.1689,2.3447,2.0628,5.4301,2.1201,3.6981,4.649,2.9577,1.6444,1.508,2.4262,3.916,8.4985,2.1603,1.4105,1.0722
0.063,14.6765,4.655,7.643,6.9463,1.0591,2.9517,4.1879,5.9946,3.4309,1.7101,6.0725,4.3973,1.3289,8.8456,3.0362,2.1906,2.5369,1.8389,6.306,4.8725,5.898,3.3181,4.1074,1.796,6.3933,4.2604,11.7852,5.1087,3.5275,7.5087,9.8274,2.6762,4.142,2.8132,2.4185,1.0887,3.3039,1.7487,4.0207,2.1603,1.1447,4.7778,1.3706,1.9913,1.9343,1.347,3.7711,0.6538,3.9236,1.3625,5.8574,0.8874,2.039,1.065,0.8798,3.2717,3.5859,3.2878,5.4462,1.7093,,1.8624,4.6168,1.5725,0.9837,1.3138,2.1595,5.2529,2.2489,2.933,4.8262,2.7483,1.5961,1.1376,1.7496,3.763,8.9978,1.4113,1.1286,1.1528
0.083,15.3208,5.2832,9.0201,6.3664,1.196,3.0886,3.2537,5.8336,3.4711,2.451,6.6604,5.4443,1.0148,11.2295,2.5691,2.6174,4.043,1.4121,7.0631,3.5678,6.3812,4.5101,5.7503,1.4899,6.6671,4.7034,12.2604,4.8993,3.7369,7.1141,4.7375,2.2011,3.4736,2.4105,2.2816,0.3236,2.4341,1.5957,4.6489,1.9831,1.5071,4.5442,0.678,1.5643,2.1196,1.8382,4.6409,1.7169,4.5518,0.8793,5.7366,1.4511,2.643,0.9926,1.0731,3.0623,3.2234,4.1254,4.7214,1.9187,,2.0074,4.6329,2.4503,1.0964,1.4588,1.4024,4.0771,1.8704,3.086,6.5254,3.8355,1.4914,1.4194,1.9831,4.4073,8.9092,1.0811,1.5635,0.581
0.104,13.4523,5.6617,6.5396,4.9732,1.494,3.9906,2.7785,4.9638,3.8658,3.0711,6.5154,6.7168,1.2564,10.8268,2.2228,2.3356,4.0349,1.3074,5.4282,2.4564,6.0913,5.396,5.6134,1.6188,5.4752,4.8322,11.5436,3.4577,3.5436,8.3544,4.4154,1.6695,3.4172,7.8306,1.9111,0.6377,2.1362,1.5877,4.9469,1.7576,1.4669,4.0288,1.2175,1.5725,2.643,1.9831,5.5188,1.2498,4.0042,2.023,6.5501,0.6538,2.635,1.6288,1.4597,2.1925,4.1576,5.1,3.7792,0.8476,,1.0087,3.6261,1.9107,0.7179,2.1836,1.9823,4.9388,0.8315,2.9169,7.0248,4.4235,0.7907,1.4999,1.7174,5.4865,7.379,1.0167,1.491,1.5635
0.125,10.5047,5.2832,5.4765,4.7396,0.8174,5.0537,2.2711,3.8926,5.8228,2.6765,6.4027,6,1.4658,11.2376,1.8685,1.8523,4.8322,1.5732,5.0094,3.1329,5.6242,6.7329,5.9436,1.4577,6.0872,5.9114,10.553,2.7973,3.4389,8.443,6.7348,1.6615,3.6346,3.2239,1.4199,0.6296,2.555,1.5957,6.1711,1.3308,0.9434,2.5147,1.7007,1.5643,2.5787,1.6691,5.6476,0.9518,3.682,3.0619,6.2923,0.8793,3.0619,1.21,1.6369,2.6274,4.818,5.1805,4.0771,1.0489,,1.508,3.2073,1.9187,0.3957,1.8534,1.8132,3.2798,0.2999,2.4176,9.3523,3.7872,0.1464,2.1442,1.6288,4.9066,7.0971,0.767,1.1689,2.0226
0.146,9.4577,5.243,3.5919,5.5691,0.6886,4.6268,1.9651,3.3208,7.1919,2.9101,7.2564,5.7906,1.6913,12.0027,1.9651,1.2805,5.2349,1.5007,3.8255,3.0926,5.149,6.8779,6.1289,0.9342,5.1369,6.1611,8.9584,2.4027,2.9557,7.8872,4.963,2.4185,4.4481,2.9098,3.087,0.4041,2.1442,1.9903,4.8503,2.1523,0.6615,2.3939,1.6041,1.798,3.0941,1.5966,5.3899,1.4431,3.4726,2.4739,5.2212,0.9034,2.6108,0.8878,1.8946,1.4758,4.3831,5.4946,4.1819,1.1133,,1.7335,3.5456,2.7563,0.742,1.6199,1.04,2.8288,0.0744,2.6189,10.9953,3.7792,0,2.0154,2.0879,3.916,5.3172,0.2999,1.1286,2.3286
0.167,7.1221,5.5168,2.851,6.2295,0.4309,4.4497,1.957,2.8295,8.247,2.9181,5.2107,6,1.9248,12.0591,2.3034,1.2,4.6389,1.5248,3.1973,2.5933,4.5369,6.0725,6.2658,1.047,4.702,4.8081,8.894,2.9423,1.7396,6.8886,5.1563,2.4185,4.5689,3.1917,2.4346,0.3558,1.4516,2.5219,4.1576,2.7402,0.7179,2.2651,1.6364,1.1294,1.8538,1.4838,4.4557,1.5478,1.9907,1.741,4.7783,1.3625,2.9249,1.4436,0.8073,1.5805,4.7214,5.6717,2.6678,1.065,,1.5241,2.6678,2.869,0.6293,1.6601,0.9031,3.3764,0.6301,1.7733,14.563,3.5376,0.9196,1.5966,2.112,3.8999,4.0528,1.1697,1.5393,2.1514
0.188,6.4456,3.9463,1.4013,6.0443,0.1248,5.1503,1.506,2.2658,10.8966,2.7248,4.7597,5.251,1.8121,9.7477,1.3691,1.2644,5.0658,1.8631,2.4161,2.094,4.0215,5.6859,6.7087,1.6752,4.4443,4.3812,7.0497,3.2805,1.3369,6.0349,4.6731,1.4279,3.989,2.8132,2.04,0.8793,1.5321,2.1595,5.3979,2.7402,0.9917,3.0705,1.0001,1.7496,1.6122,1.1617,3.4328,1.6283,1.5799,2.3371,3.997,0.9196,4.7209,0.9926,1.355,1.6852,5.9294,5.1966,3.1671,0.5738,,0.9765,1.4838,3.0866,0.4924,1.781,1.2897,2.7482,1.1294,0.8068,18.0342,2.104,2.2001,1.3792,2.7805,4.4717,3.1508,1.3147,0.734,2.095
0.208,5.5597,3.0523,1.6268,4.8121,0.3987,6.0443,1.3611,2.2174,12.9181,3.0711,4.5826,5.6698,1.651,10.1664,1.6188,1.055,4.196,1.0013,2.5691,2.3356,3.1034,5.2027,6.604,1.7315,3.8725,4.6228,6.1557,1.9678,2.1745,5.0121,4.8341,1.2105,4.5125,2.6762,2.0239,1.435,1.3227,1.8373,6.01,2.7563,1.1044,2.5308,1.1048,1.6208,1.435,0.9443,2.9013,2.6028,1.4833,2.8766,3.5058,0.7101,4.9223,0.1469,1.4114,1.0328,5.5832,5.0435,2.2086,1.2261,,1.1778,0.9201,2.9496,0.8387,0.7662,1.8132,1.9348,0.8234,0.8632,16.7778,1.8543,2.9813,1.6288,2.4825,3.8274,2.0716,1.2825,0.9273,1.8454
0.229,5.0362,3.9624,1.5544,4.7396,0.455,5.6174,0.8456,1.7826,12.8779,3.7315,3.9946,4.0107,1.4416,9.4416,2.1584,1.0711,3.9544,1.1946,1.6188,2.1262,1.7181,5.2107,5.4523,1.353,3.5584,4.7678,5.6483,2.3463,3.5275,4.0215,4.5442,1.0172,5.4467,3.6588,1.887,1.5558,0.4046,1.338,5.6073,3.2878,0.9836,2.1362,0.7021,1.1215,1.0404,1.2181,2.5308,2.4739,1.0645,3.0457,2.8454,0.9679,4.3826,0.4933,1.202,1.4758,5.551,4.7939,1.5966,1.1698,,1.3872,1.9187,2.8529,0.5488,1.3299,0.8306,2.2167,0.759,1.2014,15.8838,2.4906,2.2081,1.4194,2.5308,3.7066,1.6206,1.3469,1.2333,2.3367
0.25,5.8819,4.0107,1.1517,4.3611,0.2376,5.102,0.5235,2.2255,12.6282,4.1745,3.447,4.0027,0.9423,9.2242,1.5785,1.0067,3.8094,1.7342,0.9262,1.7235,2.4188,6.0483,4.2282,0.6846,3.3812,3.5356,5.4067,1.702,3.6966,4.6336,3.61,0.8239,5.3179,3.1514,2.3138,1.0565,0.7187,1.5635,5.2127,3.1107,1.1125,2.0718,0.8391,1.8946,1.4189,2.0315,2.0476,2.3531,0.7263,3.1021,3.1272,1.0324,4.133,1.2181,1.0892,1.8865,5.2611,3.457,1.9429,1.1698,,1.065,2.8368,2.4262,0.3876,2.1917,0.5085,2.0395,1.0167,1.1531,15.6986,1.8704,2.5545,1.1698,2.1523,3.457,2.4743,1.5321,0.6615,2.1273
0.271,6.5664,2.6255,0.9342,4.1034,0.4309,5.094,0.4913,2.0322,11.8309,4.8752,3.6322,3.4631,0.604,7.0497,1.5302,0.9342,3.5678,1.4282,0.6846,2.2872,3.3611,5.2671,4.1154,0.5315,2.3262,2.8349,5.1087,1.1463,3.753,3.9732,2.257,1.2346,4.5447,2.7004,3.0226,0.9598,1.363,0.9675,5.5268,2.6919,0.4763,2.0718,0.9276,1.4838,1.5719,1.7899,2.6113,2.4579,1.1853,1.7652,2.9903,1.0645,3.2712,1.3388,1.21,1.9913,4.4718,3.0946,1.4597,1.1939,,1.3872,2.3617,2.0718,0.8064,0.742,0.2346,1.7013,0.9764,1.3867,12.5818,1.5241,2.635,1.1939,2.7805,3.7872,2.5548,0.9764,0.3474,1.8373
0.292,6.1638,1.949,1.2242,2.9195,0.5597,5.0215,1.3289,2.0322,10.8966,5.7369,3.6483,2.5208,1.3852,6.9691,2.0215,1.2242,3.0523,0.5987,2.094,2.9235,2.4832,4.2443,2.9396,0.306,2.5597,2.1584,4.9718,0.9369,3.9383,3.2081,2.0959,1.8467,4.6172,3.8843,1.8145,0.9921,0.9201,0.8387,4.9872,2.6838,0.2427,1.6932,0.5652,1.2422,1.0404,1.661,1.8946,1.9505,1.4673,1.3948,1.8226,1.4914,2.78,1.2744,1.1456,1.4758,3.9321,2.845,2.249,1.0892,,1.8463,1.3147,1.5403,1.4186,0.4843,0.5085,2.0315,0.7348,1.3223,11.9939,1.9268,1.6847,1.1456,2.4341,3.0865,2.1683,1.2261,0.9192,1.9098
0.313,4.9315,1.949,1.5302,2.7745,0.6242,5.0376,1.345,2.0966,9.7611,6.0027,3.2456,2.0698,1.2081,6.1879,2.8832,1.5302,3.8255,1.3718,2.2228,2.706,2.3383,4.3168,2.9477,1.0631,2.302,2.5369,4.3356,0.7597,4.1315,2.7168,0.9362,2.6038,4.8346,4.0293,1.3474,1.0565,0.4368,1.1528,4.2865,3.9482,0.5971,1.3309,0.9196,1.798,1.3223,1.3066,1.3227,1.7249,1.0726,2.4739,2.0319,1.3786,2.3934,1.21,1.5886,1.3792,2.9013,2.3456,1.3147,1.1133,,1.5564,1.3872,1.4355,0.7581,0.5648,1.3461,1.7415,0.2274,0.9679,10.7215,2.4906,0.5491,1.4436,2.9255,3.5133,1.9105,1.5402,1.0883,1.2977
0.333,3.9007,1.3208,1.2403,3.6846,0.6403,4.3772,1.2161,1.3074,9.1973,5.8577,2.3517,1.957,1.5383,6.6792,1.6671,1.2403,4.3007,0.9772,1.8765,2.2872,1.7584,4.9772,2.8913,1.8846,1.6174,2.8349,3.9248,2.5396,3.7772,2.3141,0.9039,1.7742,3.9487,4.0856,1.8628,1.2256,0.3724,0.9434,3.006,4.7294,0.5971,1.8543,1.1048,1.6852,1.4431,1.5643,1.1698,2.3129,0.8309,3.5451,1.5165,1.5961,3.0538,1.1054,1.806,1.3227,2.3053,3.2234,0.9443,0.5174,,1.661,1.2503,1.1537,1.048,0.5568,0.6051,2.0073,1.065,0.5813,8.9335,2.0718,0.7585,2.0074,1.4516,3.1268,1.8461,1.5724,1.185,1.5957
0.354,3.796,1.4255,1.2725,2.5973,0.8013,3.5235,1.6752,0.8886,9.7611,6.8242,2.0537,1.6591,1.1195,6.7034,1.0792,1.2725,3.6161,0.4215,2.2067,2.0054,1.0416,5.0255,3.1732,1.7879,2.4309,2.3275,3.1114,1.3718,4.7114,2.2658,2.869,1.589,3.546,4.7299,2.4749,0.9679,0.5576,0.8387,2.2006,4.7778,1.0964,1.7254,1.435,1.2503,1.5075,1.9752,0.5899,3.0296,0.4685,3.5451,1.8709,1.6041,3.1021,1.1859,2.6597,0.9039,2.4986,2.9738,1.9187,1.5805,,2.0235,1.2583,1.3953,1.8454,0.3716,0.3796,2.0959,0.6623,0.5813,8.8852,1.4999,1.2175,1.6852,1.1133,3.2798,1.1615,0.8073,0.1299,2.6185
0.375,2.2094,1.7638,1.1436,2.251,0.6564,3.0564,0.8698,2.0081,8.5772,6.0752,2.1826,2.1584,0.6443,5.1329,0.5235,1.1436,2.8913,1.1866,2.3356,1.2886,1.7101,4.8805,3.0685,2.094,2.8738,2.7946,3.3933,1.6698,4.953,2.3141,3.7066,1.444,2.9501,4.2709,1.8387,0,0.5496,0.589,2.2892,4.8503,1.4588,1.6691,0.984,1.355,1.3545,2.6919,0.8395,3.0699,0.5088,3.0779,1.2346,1.7652,2.4014,1.5805,2.9416,1.5482,2.257,2.8368,2.3214,2.4664,,1.3792,1.4275,1.4436,1.8776,0.1783,0.3152,1.7818,0.9925,0.7666,8.1201,1.4516,1.3303,1.653,1.0087,2.0556,1.1535,1.1939,0.6132,2.6508
0.396,2.3785,1.6993,0.8537,2.5812,0.4631,2.557,1.353,2.4671,9.5597,5.6242,3.0443,2.1745,0.7409,4.6658,0.5879,0.8537,1.796,1.2671,1.6268,1.3852,1.549,4.8483,2.9074,1.6832,2.3906,2.7221,2.5074,1.6617,4.7678,2.3624,2.418,2.1447,3.1675,4.4078,1.8467,0.6135,1.0328,0.7501,2.3456,4.818,2.1836,0.9845,1.0887,0.4852,0.8632,3.1349,0.8395,2.8363,0.2994,3.7626,1.138,2.2726,1.8619,2.4584,3.2073,1.0248,2.257,2.3375,1.8463,2.8368,,1.5321,0.7349,0.8878,2.6749,0.3071,0.581,1.9509,1.065,0.5813,4.6168,1.5643,1.4511,1.8704,1.7013,1.6932,1.7736,2.2409,1.0239,1.9018
0.417,3.5302,1.5383,1.7154,2.1221,0.8577,2.098,1.6107,2.7329,10.4779,7.1221,2.851,1.8121,1.0792,6.1154,1.353,1.7154,1.5866,1.5087,0.9503,2.1906,1.847,4.7839,2.9074,1.9007,2.3181,2.9557,1.9436,1.6215,4.6872,2.0161,1.3872,2.0561,2.193,4.6252,2.1447,0.9276,0.7912,0.6695,1.4999,4.1818,2.4333,1.7254,0.6699,0.5174,0.6458,2.8852,0.8878,3.0457,0.5491,3.384,1.9111,3.6256,1.6927,2.4423,2.4019,1.508,1.9752,3.1349,1.4597,2.7322,,2.2168,0.9926,1.2261,3.1259,0.734,0.5487,2.0556,0.3643,0.9679,3.5939,1.3227,1.4431,1.2503,1.959,2.2006,1.9347,2.7643,0.3474,1.1206
0.438,3.1517,2.0537,1.3611,1.7678,0.8255,1.502,0.8698,2.4027,9.9624,7.6054,1.9329,1.6913,0.9906,4.2631,1.5866,1.3611,1.4094,1.4685,1.4094,1.6188,1.4201,5.4443,2.4725,1.7074,3.0188,3.9785,1.8309,2.4188,5.0577,2.2899,0.9362,3.3447,1.7823,4.7138,1.734,1.0082,1.6207,0.887,1.3711,3.6986,1.5877,1.4436,0.8391,1.7093,1.2095,3.0946,1.6932,3.0779,0.3639,2.2726,0.6548,2.8928,2.3854,3.4006,2.6356,1.6932,1.5403,3.3443,1.1537,1.516,,2.2086,1.0811,0.896,3.2306,0.8387,0.6937,2.257,0.0905,1.0726,4.1174,0.6462,1.7007,1.2422,1.7013,2.9174,0.9038,2.5711,0.0494,1.3058
0.458,3.1195,2.5208,0.6523,1.8,0.5114,1.1235,0.6846,2.4268,10.4295,7.4926,1.651,1.4899,1.7718,3.8443,1.7154,0.6523,1.1034,1.2591,1.4738,1.353,1.5329,4.5181,1.9248,1.2242,3.2685,2.4886,2.153,2.4027,5.8711,1.7745,2.257,4.2306,1.9031,5.0923,1.0252,1.2337,0.7429,1.1528,1.9831,4.5603,1.7004,1.8221,1.137,2.2409,0.9759,4.1899,0.6866,2.7478,0.8471,2.6672,1.2507,2.8122,2.3934,3.8033,2.7563,2.0074,1.9752,2.8933,1.1617,1.2261,,2.1845,1.0972,0.7188,3.4964,0.4682,0.2508,2.9415,0.3402,0.8712,3.5215,0.7188,1.2578,1.9107,2.5791,2.3778,0.3884,3.1429,0.291,0.6293
0.479,2.6926,2.2953,0.9584,1.6067,0.2859,0.6805,1.5785,2.9423,10.3732,8,1.6752,1.047,2.3839,2.9826,1.9248,0.9584,1.5624,2.2174,1.5221,0.8537,1.5812,4.3168,2.4081,1.6107,3.8081,2.0456,1.9919,1.5248,6.0966,1.2752,1.2261,3.7152,1.7501,6.4051,1.9353,1.4511,0.3643,0.8306,2.9415,4.6489,1.5957,2.0879,0.4847,1.967,1.0726,4.6086,1.0892,2.8766,1.0726,2.8686,1.4843,4.2055,1.0404,3.8516,2.7644,2.0315,2.5711,2.9094,1.4114,1.1617,,2.9899,1.355,1.3066,4.3662,0.2105,0.6132,2.3697,0.9281,0.7182,2.563,1.1778,1.1209,2.5308,1.7819,1.967,0.8958,3.1187,0.4118,0.9595
0.5,3.1517,1.8846,1.6752,1.0913,0.5275,0.7772,1.345,1.847,9.1007,8.3141,1.6993,0.6201,2.0698,2.7087,1.5866,1.6752,1.1275,1.855,1.3611,0.3705,0.9047,3.9383,2.1987,1.6671,4.3477,1.7799,1.9195,2.1128,5.9195,1.0497,0.9039,4.2064,1.5326,7.7098,2.4507,1.3625,1.4919,0.2588,1.9268,3.2234,1.3863,2.1603,0.6699,1.347,1.0807,4.2946,1.065,3.2069,1.0967,2.2968,1.8306,4.2135,1.0082,3.9564,2.9657,2.0154,2.0154,1.967,1.3631,0.8476,,3.1671,1.1537,1.4194,4.334,0.3957,0.2508,2.5147,1.355,0.7182,2.1523,1.6449,1.5478,2.5308,1.2261,1.8784,1.1857,2.2811,0.4118,1.4105
0.521,2.8537,2.0698,1.2805,0.6725,0.7289,1.204,1.5302,1.5329,8.3839,9.2805,1.7315,0.5396,2.2228,2.4671,1.1597,1.2805,1.2886,1.7423,0.7409,1.1597,0.7678,4.2282,1.8121,1.804,4.4846,2.1906,2.0483,2.6523,4.6309,1.3477,0.0019,7.0091,1.4521,7.0091,2.6923,1.4592,1.6046,0.7098,1.5724,2.9013,1.5796,2.0476,1.0324,1.0972,0.6135,4.359,0.163,3.6418,0.525,2.3531,1.734,3.5611,1.6041,3.755,2.7644,1.6047,1.4677,1.7737,0.7751,0.8154,,2.7483,0.8556,0.6301,3.883,0.589,0.1461,1.2583,1.3711,0.5894,2.3939,2.2731,1.6686,1.661,1.5564,1.218,0.6542,1.8382,0.9273,1.2091
0.542,2.6765,1.8685,0.7329,0.9866,1.1879,1.9128,2.3839,2.5235,7.8685,8.3463,1.651,0.7087,2.6174,3.2644,0.8779,0.7329,0.9181,1.9678,1.1517,0.1047,1.1463,4.6631,1.6671,2.2389,5.7732,1.8121,2.3624,1.6376,4.494,1.2591,1.0006,6.4373,1.8628,5.5111,2.5554,1.0082,1.5885,0.7742,0.9684,3.5375,1.1367,1.967,1.4431,1.3953,0.9599,4.6892,0.1469,2.635,0.1947,1.6847,1.7581,3.8834,0.8632,4.8503,2.2248,1.4919,1.4033,2.3617,1.0087,0.7751,,2.3134,1.5643,0.3,3.6897,0.2346,1.2575,1.9348,1.508,0.2592,1.9026,2.5469,0.5893,1.661,1.5966,1.0006,0.4528,1.8221,0.9756,1.5071
0.563,2.0242,2.2953,0.2255,1.2604,1.4456,1.196,2.1826,2.8698,6.7651,7.6859,2.247,0.443,2.8913,2.749,0.894,0.2255,0.8456,1.3074,1.4577,0.2819,0.8805,5.2107,0.6846,2.2389,6.1114,1.7799,1.8067,1.5732,4.647,1.6617,2.1281,5.5434,2.2333,6.9286,2.2011,0.7263,1.6207,0.742,0.4852,3.9563,1.6199,1.5725,1.435,1.4194,0.6135,4.2704,0.5496,2.0551,0.1786,1.6847,1.7903,3.1262,0.7585,4.0449,1.6771,1.4194,1.0731,1.8382,1.0731,0.9039,,2.2168,1.3711,1.5241,3.0857,0.3796,0.5004,2.0556,0.2113,0.3317,1.2503,1.8382,0.1223,2.5711,0.8556,1.1536,0.6381,1.2825,0.444,1.2414
0.584,1.9195,1.5544,0.7007,0.898,1.7356,0.9946,2.4966,4.0054,6.0081,7.5973,1.8685,0.8456,3.3664,2.6282,0.3383,0.7007,1.0148,0.8805,2.102,1.2322,1.3718,4.1074,1.055,2.4161,6.1195,1.2805,0.9852,1.6537,3.7691,1.3557,1.5482,4.44,2.0481,7.7179,3.0387,0.9679,1.6449,0.6857,1.2261,4.2704,2.2159,2.112,1.3464,1.1698,0.9034,3.9321,0.5174,1.9988,0.8391,1.6283,1.0011,2.3048,0.6296,3.7309,2.0557,0.8073,1.1054,1.7254,1.806,1.347,,1.8785,1.3066,1.5805,2.3045,0.4843,0.7098,2.1281,0.1952,0.6216,0.9926,1.653,0.3639,3.2798,1.4355,1.0489,1.1374,1.4838,0.5165,0.2427
0.604,1.9356,0.6926,2.4966,0.7772,1.8161,0.6564,2.2872,2.9906,5.2832,6.8403,1.3208,1.1034,3.6,2.9262,0.2899,1.6188,0.9262,1.4604,1.5866,1.353,0.7919,3.2779,1.1275,2.6416,6.6993,1.2403,1.7906,1.7906,2.9477,1.0497,2.1603,5.0199,1.887,8.6762,2.4346,0.5008,1.9831,0.6776,1.2825,2.6355,3.3514,1.5564,1.9424,1.4355,0.1223,3.2315,0.759,1.5799,0.686,1.0565,1.4521,2.5222,1.0404,3.8838,1.2664,0.9604,1.2905,1.8543,1.959,1.3227,,2.4262,1.4114,0.7832,2.3609,0.6776,2.7957,2.2086,1.516,0.6457,0.9443,1.653,1.1934,3.5537,1.5886,1.4597,0.5897,1.6127,0.9917,0.2266
0.625,1.8389,1.3772,4.0349,1.051,2.4201,0.294,3.6081,2.6926,4.4054,6.7356,0.7651,0.749,4.0268,2.8456,1.2805,1.1919,1.1517,2.0483,1.2,1.3289,0.9852,2.698,1.5544,3.0926,8.9866,1.6752,1.7906,2.1852,2.5047,0.4456,1.5482,3.8923,1.138,8.2736,2.7004,1.3142,1.661,1.0642,1.7415,2.1603,3.3997,0.8395,2.5625,1.2825,0,3.3121,0.9926,1.6927,0.6377,1.2417,2.0239,2.2081,0.7826,3.9805,1.6127,1.7899,1.508,1.5643,1.1617,1.0167,,3.3443,1.1939,0.3161,1.5635,0.3554,0.4601,2.4261,1.1617,0.8471,1.5643,0.7027,0.9518,3.7872,0.4611,1.7415,0.783,0.7992,1.636,0.895
0.646,1.404,1.5383,4.6953,1.0349,2.5007,0.2617,4.6309,3.7074,2.8752,5.5356,1.1034,0.6685,3.9624,2.3544,1.5705,1.2,1.1919,1.8792,1.4255,1.5946,1.694,1.6027,1.6591,3.6,9.9852,0.4027,1.7181,1.1946,1.9812,0.8725,2.0959,4.8266,1.1138,6.244,3.385,1.3706,1.6288,0.8065,1.3227,2.1523,3.287,2.0235,1.7572,1.7819,1.282,3.4811,0.9362,2.2968,0.5893,1.4189,1.283,1.9585,0.6296,3.0462,0.8234,1.5966,2.555,1.9913,0.8798,1.5241,,2.7241,0.9845,0.7107,1.7246,0.7984,0.4924,1.8623,1.6449,0.6619,1.3711,0.7107,0.3397,3.9241,0.9684,2.0717,0.9683,1.4274,0.8628,0.7581
0.667,1.6295,0.9584,6.1128,0.8255,2.4121,0.157,5.557,3.5866,2.0215,4.6738,1.4738,1.0148,3.3745,2.0725,2.1664,1.3611,1.3369,1.8872,1.7315,1.4336,1.5007,1.5463,1.8282,4.7758,12.0953,0.5477,2.2094,1.557,1.8604,1.694,2.5469,6.84,1.2266,5.6803,2.934,1.5961,1.5241,0.5407,1.4838,1.7737,3.2226,2.6758,1.6364,2.0154,1.0162,4.3429,1.661,1.9182,0.0739,1.4431,1.4843,2.0471,1.2015,3.2315,0.7912,0.9039,2.2007,2.0235,1.4838,1.0811,,2.0959,0.6623,0.5657,1.8696,0.9192,0.6454,1.6288,1.4597,0.8471,1.065,0.9926,0.7746,4.657,0.3241,1.065,0.6622,1.3066,0.5971,0.5165
0.688,1.9436,0.9181,7.5141,0.5114,3.443,0.302,6.4027,3.9651,2.0456,4.9396,1.6107,0.5799,3.447,2.1208,2.0054,2.1503,0.9342,2.5557,1.6188,1.5705,1.9839,1.7154,1.9812,5.5651,11.2416,1.3611,2.3141,1.9436,1.949,0.8725,2.3214,7.3635,1.2588,6.1715,3.0467,1.3223,1.4838,0.7501,2.1362,1.8704,3.3434,1.9268,1.8377,1.9831,0.6618,3.8194,1.8382,1.2095,0.082,1.6283,1.1702,1.9022,0.9357,2.3858,1.1859,1.2342,2.0074,1.8946,1.5482,1.2181,,1.9268,0.5899,0.9765,2.0548,0.4199,0.5568,1.669,2.8288,0.7102,0.6221,0.9443,0.0659,5.5027,0.3805,1.1939,0.9602,1.3469,0.6857,0.6857
0.709,2.1691,0.7329,8.0054,0.6242,3.7409,0.3906,7.1758,5.5839,1.5302,3.6671,1.6591,0.9584,2.9154,3.2322,2.2792,1.4899,0.9503,2.7732,1.9007,1.9812,1.1785,1.8685,1.6268,5.3154,11,1.0792,2.6121,1.5007,1.5705,0.8564,1.7415,6.542,1.138,6.2521,3.2319,1.7813,0.767,1.3783,1.6529,1.516,4.036,2.3456,2.2806,3.1429,0.6296,3.457,2.5791,0.388,0.7746,1.7249,1.5326,1.4833,0.1626,1.9992,0.7349,2.1764,2.1845,1.4838,2.0074,2.1925,,2.249,1.7737,1.4999,1.5474,0.291,0.7984,2.1362,2.8046,1.0243,0.8395,1.2503,0.6538,5.2127,0.7751,0.2999,1.5642,1.1053,1.1689,0.7742
