days,Cell1,Cell2,Cell3,Cell4,Cell5,Cell6,Cell7,Cell8,Cell9,Cell10,Cell11,Cell12,Cell13,Cell14,Cell15,Cell16,Cell17,Cell18,Cell19,Cell20,Cell21,Cell22,Cell23,Cell24,Cell25,Cell26,Cell27,Cell28,Cell29,Cell30,Cell31,Cell32,Cell33,Cell34,Cell35,Cell36,Cell37,Cell38,Cell39,Cell40,Cell41,Cell42,Cell43,Cell44,Cell45,Cell46,Cell47,Cell48,Cell49,Cell50,Cell51,Cell52,Cell53,Cell54,Cell55,Cell56,Cell57,Cell58,Cell59,Cell60,Cell61,Cell62,Cell63,Cell64,Cell65,Cell66,Cell67,Cell68,Cell69,Cell70,Cell71,Cell72,Cell73,Cell74,Cell75,Cell76,Cell77,Cell78,Cell79,Cell80
18.943,1.3074,4.043,0.6121,0.8255,0.004,0.1812,0.6846,5.157,1.2805,2.0081,0.6201,4.357,0.6443,4.3839,3.7208,0.6685,1.2644,6.4779,2.1987,1.6913,0.7597,1.6993,1.345,3.0201,10.0416,5.9678,7.2188,3.6671,1.353,2.3463,0.2597,1.0494,0.8158,5.785,2.346,1.2095,2.1039,0,4.8341,0.9442,1.7165,1.5482,7.9826,7.7174,1.2658,5.6234,3.9725,12.0015,3.2874,4.7853,1.7662,1.3867,2.8122,0.5335,0.3805,2.4825,8.1523,1.6208,2.3456,1.3872,0.0901,4.2704,3.4892,0.8476,0.2991,1.0481,0.7662,2.6838,2.0234,2.482,1.4838,2.6356,0.1867,2.9255,3.9564,2.3858,0.2917,1.7254,0.6212,0.9112
18.964,1.4926,4.4376,1.0792,1.1154,0.2054,1.1315,0.1208,4.5852,1.643,2.0242,0.8537,3.7208,1.4497,3.9248,3.6805,0.6121,0.3221,7.5732,2.7463,2.3114,1.7101,1.5141,1.5383,2.6577,10.702,6.1128,7.8228,3.5866,1.0792,1.6295,1.0328,1.2427,1.1944,4.9152,3.4172,0.4686,0.9523,0.4601,5.3576,0.614,1.5554,1.0811,7.3384,9.2798,0.541,5.3657,4.2865,12.09,2.7155,4.3021,1.6454,1.5478,2.9652,0.2597,0.4852,3.006,7.4919,0.7349,2.3858,1.2583,0,4.061,3.4328,0.6623,0.3715,1.9179,0.734,2.8288,2.0717,3.0135,1.6208,2.7805,0.4525,3.0221,3.4489,3.8194,0.2354,2.1684,0.9031,1.0561
18.985,1.8148,4.1396,0.8054,1.349,0.7128,1.8564,0.7409,4.7946,1.2805,1.6376,1.1678,2.8832,1.3772,4.1906,4.0591,1.0792,0.4027,8.6282,1.4899,1.9651,1.7342,1.7154,1.498,3.149,12.9973,4.4456,9.0631,2.9101,1.7154,1.5893,0.9039,0,2.3138,4.1823,3.2561,0,0.8395,0.2346,6.1147,0.1066,1.8212,1.4999,7.9504,9.7711,0.2511,6.1631,4.7697,12.2108,2.3129,4.3343,1.8548,1.6122,2.8605,0.4288,0.5094,3.0382,7.4113,0.9201,1.6852,1.5403,0.235,4.053,2.7805,0.3241,0,3.0615,1.0964,2.9737,2.3456,3.6014,0.9282,3.9321,0.9357,2.7,2.7644,4.4476,0.8474,2.1764,0.9514,0.3232
19.006,2.0725,3.7208,0.8134,1.0913,0.1732,2.2591,1.0792,5.3664,1.1758,1.6295,0.4188,2.8349,0.749,4.094,4.4054,0.8054,0.6846,8.1611,1.1356,3.2537,1.8792,1.9732,1.8846,3.5195,13.0537,4.349,9.7235,2.9503,1.5141,1.7664,1.4516,0.2038,2.2816,4.8024,4.3031,0,0.469,0.3796,5.7442,0.3966,1.3219,1.9107,7.4028,10.1094,0.8309,6.8235,4.6248,12.2994,2.2887,3.6981,2.5796,1.3383,2.8766,0.7993,0.4933,2.5067,7.6046,1.0409,1.8624,1.8865,0.8068,3.8597,2.5147,0.7268,0,3.3675,0.9031,3.3764,2.1603,3.2551,0.3885,4.8341,0.9759,1.7658,2.7,3.6825,0.187,2.3456,0.8548,0.8065
19.027,1.8872,4.0349,1.2886,0.5436,0.2134,2.7745,0.9503,5.6564,0.8698,2.8134,0.7409,2.706,0,3.7879,3.8658,0.8134,0.4188,8.2174,1.7396,2.7383,1.1302,2.0537,2.0054,3.5919,13.8993,4.5826,8.6282,2.5315,1.651,0.9933,0,0.9769,1.2749,3.7152,5.0521,0,0.2758,0.6776,5.8086,1.5966,0.8387,1.6047,7.5558,9.0463,0.8391,7.1214,3.9403,12.3156,2.788,3.7384,1.3957,1.129,3.5853,1.355,0.7832,1.8624,7.6046,1.7819,2.7724,1.5886,0.2672,3.2878,1.9831,1.2261,0.5246,3.0373,0.5568,3.1107,2.0234,1.7733,0.2517,4.649,1.1692,1.806,3.2878,3.9805,0.3079,2.5952,0.5648,0.9192
19.048,1.6698,3.8174,1.2,0.8013,0.6644,2.7987,0.8215,6.1638,0.2819,3.0792,1.1678,3.6966,0.5074,2.7812,3.7691,1.2886,0.5477,10.0859,1.643,3.0362,1.7745,2.0617,1.9893,3.7289,14.5275,4.8725,9.1517,2.306,1.0711,0.494,0.614,0.985,1.2668,3.0789,4.5769,0.5813,0.8798,0.5326,7.0972,0.7912,0.7581,1.1617,7.9424,8.8449,1.1612,8.4261,2.7966,9.972,2.8041,3.6336,0.993,0.5733,3.4323,1.347,1.21,2.0959,5.9054,0.6221,1.6127,0.8878,0.7021,2.9899,1.4194,0.7832,0.4279,3.4078,0.5326,2.257,2.0959,1.9021,0.6623,4.1254,0.9599,2.5389,2.6033,3.8516,0.9038,2.2972,0.6534,0.2749
19.069,1.694,3.0685,1.3208,0.7047,0.4711,2.2188,0.5074,6.2201,0.9262,3.7154,1.6107,3.4872,1.4416,2.7248,3.3987,1.2,0.6443,8.9262,1.9732,3.5436,1.3557,1.6027,2.0617,3.4389,17.2255,5.0819,8.6685,2.3141,1.0309,0.1638,1.1294,1.6051,0.687,3.1353,5.2132,0.5169,0,0.734,5.6315,1.1133,0.9836,1.4516,7.6363,7.7416,2.1115,7.9107,3.0543,9.384,2.6592,2.6511,1.5246,1.1048,2.8846,0.1308,4.3268,2.4825,5.0678,0,1.202,0.9121,0.6618,3.1993,1.0972,0.9039,0.3555,3.3997,0.4279,2.7966,2.3697,1.8135,0.8476,3.4328,1.3786,2.7483,2.4584,4.6248,0.7669,2.3778,1.0883,0.4924
19.089,1.7181,3.5436,1.6268,1.051,0.5114,2.5087,0.7893,5.0443,0.9342,3.3128,1.1034,3.0362,0.9423,3.4899,3.6966,1.3208,1.3611,8.0966,2.2309,3.3342,1.4846,2.102,1.4255,3.9705,17.3705,4.6389,8.5799,2.0966,1.5946,1.0255,0.7751,1.2266,0.5984,2.4346,6.1474,0.7424,0.5415,0.6776,4.7536,0.8154,0.9675,1.6288,6.8954,7.6611,2.3451,6.6302,3.8999,9.1827,2.6914,2.7961,1.589,1.9988,3.0054,0.3644,2.1281,1.9348,5.3738,0.5094,1.3872,1.3872,0.1867,2.6678,1.2825,0.1872,0.2991,2.8763,0.6132,2.716,3.4409,1.2739,1.3147,2.1764,1.5397,1.7737,2.7724,5.1643,0.775,1.4597,0.6373,0.444
19.11,0.9208,2.4483,1.9087,0.8174,0.7933,3.4993,0.4188,3.7879,2.0859,3.345,0.7973,3.1329,1.2725,2.6685,4.1396,1.6268,1.7638,7.1463,2.4081,3.4067,2.0483,1.8604,1.0228,3.9705,17.145,4.357,7.702,1.251,1.6349,0.8161,1.2583,2.2494,1.1944,2.7729,6.389,0.9598,0.5818,0.2749,5.7039,0.4368,1.3058,1.2503,6.686,7.3469,2.2001,5.8972,3.8919,10.6162,2.1598,2.635,1.8628,1.435,3.3598,1.6288,2.0718,1.9913,4.7053,0.7832,1.5966,1.9831,0.1786,2.1201,1.4838,0,0.3474,3.7461,1.04,1.8784,3.755,1.5478,2.0235,2.4584,1.1048,1.8543,2.1845,5.5268,1.0488,0.767,0.581,0.0816
19.131,0.9933,1.9248,1.5946,0.6081,0.5597,4.047,0.443,4.6013,1.9732,4.0537,1.2805,2.8671,1.5544,2.3946,3.9544,1.6752,1.9893,6.9369,2.1342,3.3101,2.1289,1.9409,1.0711,3.9383,17.4591,3.7128,8.1128,1.5651,1.4416,0.8,0.5818,1.5326,2.3219,3.1756,5.4387,0.2592,0.7026,0.2508,6.6221,0.7831,0.6776,0.8395,6.839,5.6154,2.4497,6.3725,3.4489,7.58,2.1518,2.1035,1.7098,1.3625,4.141,1.5725,2.0476,1.2422,4.4154,0.7751,0.7429,1.7819,0.8309,1.6208,1.0972,0.5094,0.9675,3.3836,1.1608,1.0811,4.5603,1.0082,2.7724,3.0301,1.0001,2.2409,1.3309,5.2368,0.324,0.3402,0.895,0
