,index,R2,amplitude,decay,period,phase
0,24.0,0.8246035871112526,42.104797747068645,0.011118975497679354,51.26196355586382,-3.01245410037744
1,24.0,0.8284168146260975,51.408081857737564,0.012743426560764307,47.87868244937207,-2.9659023615130375
2,8.0,0.9358757622612708,131.84608773490908,0.012479141013832629,38.58358371826142,-2.627798552343156
3,8.0,0.9287339011849028,119.26471628400766,0.01304633960007719,39.00653464421406,-2.60831774245985
4,2.7,0.9374162090262519,135.71414300466031,0.014066490986152445,31.390527130404173,-2.6406567580759215
5,2.7,0.9524871730814726,134.62560346300305,0.012993606093781897,31.713713149818567,-2.601383075170778
6,0.9,0.9586733090947988,133.5648562869838,0.013636644134038015,27.878091472033468,-2.680863065646033
7,0.9,0.9526965732733897,128.27481988183058,0.01395064529969673,27.87168060459392,-2.6720101661994042
8,0.3,0.9642177216675231,117.57928406311635,0.014786879027279713,25.926861893018817,-2.6885664240733576
9,0.3,0.9590386233971582,123.88445461632084,0.014144107754981391,26.14834820018899,-2.6375565320926015
10,0.1,0.9477083242886165,113.5910618432117,0.01611238292073105,25.682170743795133,-2.6840244530060855
11,0.1,0.9531960707467688,108.58813821486797,0.016063513327384885,25.74423179862025,-2.5818915200915975
12,0.03,0.9635581353012902,116.44267218661273,0.013453733596977848,25.444734011093253,-2.7402083368731067
13,0.03,0.9508343641163326,104.14583472886727,0.015441008574869488,25.34041335734445,-2.7087567434448534
14,0.0,0.9626739596463189,104.37117025821777,0.01641383917967679,25.38992293331562,-2.5027866416562694
15,0.0,0.9689972807912127,102.64186431101311,0.016161852723120776,25.359733472302512,-2.494400583807432
