,index,R2,amplitude,decay,period,phase
0,24.0,0.8406956023860961,41.1379067626731,0.025489882277529782,35.13088801244483,-2.6226160318712277
1,24.0,0.8636288136245329,40.547380749511504,0.0316658241358077,34.61956304072894,-2.4921856835564045
2,8.0,0.8930142622104624,77.97273947547768,0.03077451678724527,33.33262531450154,-2.5286126731133813
3,8.0,0.9397008136397741,86.77980306542014,0.03328092147907296,32.03154093843415,-2.4706251130126637
4,2.7,0.9238380334700611,110.20934039677083,0.029573413273385262,31.396479155737733,-2.4488633252083463
5,2.7,0.9213337036782958,104.10370319808592,0.02873537298569819,31.283952782960824,-2.4621705739228608
6,0.9,0.9423822772510674,103.56826979877837,0.026896560196174233,29.409265312527594,-2.5516071867995085
7,0.9,0.9379402823178798,95.09443074266183,0.01948690275374676,28.253196107875546,-2.387728819644082
8,0.3,0.9663267461547671,101.06900991924141,0.01833231636665725,27.175405965388595,-2.596422120096969
9,0.3,0.9656970155286377,96.44554959748172,0.017368685528969686,26.046772225514353,-2.6473353603978973
10,0.1,0.9621232380820328,97.57781648210572,0.015877699430085577,25.500159206219458,-2.6130989391282564
11,0.1,0.9611724771768714,98.75844024540542,0.014844330557563764,25.396272690086544,-2.704723116643601
12,0.03,0.9697857740025244,106.03872516384952,0.015517219434605151,25.63803105415549,-2.6941025145919695
13,0.03,0.9621942330242823,107.49775359921601,0.01647939878624286,25.464050366429966,-2.6238093727367744
14,0.0,0.9626739596463189,104.37117025821777,0.01641383917967679,25.38992293331562,-2.5027866416562694
15,0.0,0.9689972807912127,102.64186431101311,0.016161852723120776,25.359733472302512,-2.494400583807432
